Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Circunstâncias Judiciais,Antecedentes,Pena-Base Minimo?,Agravantes/Atenuantes,Reincidência,Confissão Espontânea,Comparação Pena Provisória,Crime Tentado,Repouso Noturno,Conversão da Pena
0044117-96.2018.8.26.0050,Furto Simples,SÃO PAULO,2ª Vara Criminal,Rodrigo Cesar Muller Valente,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0044672-50.2017.8.26.0050,Furto Simples,SÃO PAULO,12ª Vara Criminal,EVA LOBO CHAIB DIAS JORGE,N/A,N/A,Não,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Diferente da base,Não,Não,Não convertida
0046503-02.2018.8.26.0050,Furto Simples,SÃO PAULO,15ª Vara Criminal,MANOELA ASSEF DA SILVA,375,80,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Diferente da base,Sim,Não,Convertida
0047666-27.2012.8.26.0050,Furto Simples,SÃO PAULO,28ª Vara Criminal,Dr. Augusto Antonini,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0048255-09.2018.8.26.0050,Furto Simples,SÃO PAULO,15ª Vara Criminal,Dr(a). Elaine Cristina Pulcineli Vieira Gonçalves,N/A,N/A,N/A,Primário ou sem antecedentes,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A
0048676-43.2005.8.26.0506,Furto Simples,Ribeirão Preto,3ª Vara Criminal,Guacy Sibille Leite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0049148-97.2018.8.26.0050,Furto Simples,SÃO PAULO,14ª Vara Criminal,Fernando Augusto Andrade Conceição,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0049403-54.2003.8.26.0576,Furto Simples,São José do Rio Preto,3ª Vara Criminal,Carolina Marchiori Bueno Cocenzo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0050749-14.2012.8.26.0515,Furto Simples,Rosana,Vara Única,Dr(a). LUCAS SILVA BARRETTO,N/A,792,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0051801-72.2018.8.26.0050,Furto Simples,SÃO PAULO,16ª Vara Criminal,FABIOLA OLIVEIRA SILVA,N/A,N/A,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,N/A,Não,Não,Não convertida
0052372-70.1999.8.26.0224,Furto Simples,Guarulhos,5ª Vara Criminal,PRISCILA DEVECHI FERRAZ MAIA,N/A,N/A,N/A,Maus antecedentes,Não no mínimo,Não,Não,N/A,N/A,N/A,N/A,N/A
0052755-72.2008.8.26.0405,Furto Simples,Osasco,4ª Vara Criminal,MARIANA HORTA GREENHALGH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0053190-29.2017.8.26.0050,Furto Simples,SÃO PAULO,9ª Vara Criminal,Dr(a). Lilian Lage Humes,730,990,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,N/A,Não,Não,Não convertida
