Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Circunstâncias Judiciais,Antecedentes,Pena-Base Minimo?,Agravantes/Atenuantes,Reincidência,Confissão Espontânea,Comparação Pena Provisória,Crime Tentado,Repouso Noturno,Conversão da Pena
1500034-41.2021.8.26.0655,Furto Simples,Várzea Paulista,1ª Vara,HELOISA HELENA PALHARES MONTENEGRO DE MORAES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500035-64.2019.8.26.0568,Furto Simples,São João da Boa Vista,Vara Criminal,Elaní Cristina Mendes Marum,365,485,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Diferente da base,Não,Sim,Convertida
1500036-52.2022.8.26.0048,Furto Simples,Atibaia,3ª Vara Criminal,Leonardo Marzola Colombini,455,505,Sim,Maus antecedentes,Sim no mínimo,Sim,Não,Sim,Diferente da base,Não,Sim,Não convertida
1500036-70.2019.8.26.0270,Furto Simples,Itapeva,Juizado Especial Cível e Criminal,Renato Hasegawa Lousano,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500040-44.2019.8.26.0582,Furto Simples,São Miguel Arcanjo,Vara Única,Dr(a). Matheus Oliveira Nery Borges,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500041-96.2020.8.26.0516,Furto Simples,Roseira,Vara Única,LUIZ HENRIQUE ANTICO,N/A,547,Sim,Maus antecedentes,Não no mínimo,Não,Não,Não,N/A,Não,Não,Não convertida
1500042-56.2019.8.26.0568,Furto Simples,São João da Boa Vista,Vara Criminal,Elaní Cristina Mendes Marum,365,485,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,N/A,Não,Sim,Convertida
1500043-29.2021.8.26.0420,Furto Simples,Paranapanema,Vara Única,DIOGO DA SILVA CASTRO,365,365,Não,Maus antecedentes,Sim no mínimo,Não,Não,Sim,Igual à base,Não,Não,Convertida
1500043-38.2022.8.26.0341,Furto Simples,Maracaí,Vara Única,Dr. Zander Barbosa Dalcin,730,970,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Igual à base,Não,Sim,Não convertida
1500047-78.2022.8.26.0534,Furto Simples,Santa Branca,Vara Única,Dr(a). Adriana Vicentin Pezzatti de Carvalho,485,485,Não,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,Igual à base,Sim,Não,Não convertida
1500052-08.2021.8.26.0382,Furto Simples,Neves Paulista,Vara Única,MILENA REPIZO RODRIGUES,N/A,576,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Diferente da base,Não,Não,Não convertida
1500053-18.2022.8.26.0233,Furto Simples,Ibaté,Vara Única,FELIPE CAVASSO,365,120,Não,Maus antecedentes,Sim no mínimo,Não,Não,Sim,N/A,Não,Não,Convertida
1500065-21.2022.8.26.0560,Furto Simples,Votuporanga,2ª Vara Criminal e Da Infância e Juventude,MAURICIO JOSE NOGUEIRA,425,326,Sim,Maus antecedentes,Não no mínimo,Não,Uma condenação,Não,Diferente da base,Sim,Não,Não convertida
1500067-08.2020.8.26.0383,Furto Simples,Nhandeara,Vara Única,Dr(a). Kerla Karen Ramalho de Castilho Magrini,425,565,Não,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Diferente da base,Não,Não,Não convertida
1500068-84.2022.8.26.0136,Furto Simples,Cerqueira CÃ©sar,2Âª Vara,JOANNA TERRA SAMPAIO DOS SANTOS,365,365,Sim,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,N/A,Não,Não,Não convertida
1500070-16.2021.8.26.0548,Furto Simples,Sumaré,2ª Vara Criminal,Marcus Cunha Rodrigues,N/A,N/A,Sim,Maus antecedentes,Não no mínimo,Não,Não,Não,Diferente da base,Não,Não,Não convertida
1500072-21.2022.8.26.0622,Furto Simples,Itararé,2ª Vara,BRUNA MENDES FERREIRA,365,365,Sim,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Diferente da base,Não,Não,Convertida
1500073-10.2021.8.26.0341,Furto Simples,Maracai,Vara Única,Zander Barbosa Dalcin,500,1000,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,Igual à base,Não,Não,Não convertida
1500073-47.2020.8.26.0146,Furto Simples,Cordeirópolis,Vara Única,JULIANA SILVA FREITAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500074-87.2020.8.26.0548,Furto Simples,Campinas,5ª Vara Criminal,GUILHERME FAGGION SPONHOLZ,425,565,Não,Primário ou sem antecedentes,Não no mínimo,Sim,Uma condenação,Sim,N/A,Não,Sim,Não convertida
1500078-68.2022.8.26.0156,Furto Simples,Cruzeiro,Vara Criminal,Dr(a). Claudionor Antonio Contri Junior,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500081-83.2021.8.26.0115,Furto Simples,Campo Limpo Paulista,2Âª Vara,Dr(a). Marcel Nai Kai Lee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500082-79.2018.8.26.0598,Furto Simples,Jaú,1ª Vara Criminal,PEDRO SIQUEIRA DE PRETTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500082-94.2022.8.26.0483,Furto Simples,Presidente Venceslau,1Âª Vara,Dr. GABRIEL MEDEIROS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500084-54.2021.8.26.0142,Furto Simples,Colina,Vara Única,FABIANO MOTA CARDOSO,420,180,Sim,Maus antecedentes,Não no mínimo,Não,Não,Sim,N/A,Não,Não,Não convertida
1500088-37.2021.8.26.0257,Furto Simples,Ipuã,Vara Única,Marcos de Jesus Gomes,N/A,630,Não,Maus antecedentes,Não no mínimo,Não,Uma condenação,Não,N/A,Não,Não,Não convertida
1500089-60.2021.8.26.0115,Furto Simples,Campo Limpo Paulista,2ª Vara,Dr(a). Marcel Nai Kai Lee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500091-68.2020.8.26.0534,Furto Simples,Santa Branca,Vara Única,Adriana Vicentin Pezzatti de Carvalho,498,498,Não,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,Igual à base,Não,Não,Não convertida
1500093-58.2022.8.26.0052,Furto Simples,SÃO PAULO,2ª Vara do Júri,Fernanda Salvador Veiga,N/A,N/A,N/A,Primário ou sem antecedentes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500096-70.2021.8.26.0691,Furto Simples,Buri,Vara Única,GILVANA MASTRANDÉA DE SOUZA,365,240,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Diferente da base,Não,Não,Convertida
1500097-76.2022.8.26.0414,Furto Simples,Palmeira D'Oeste,Vara Única,RAFAEL SALOMAO OLIVEIRA,365,485,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Igual à base,Não,Sim,Convertida
1500105-80.2022.8.26.0599,Furto Simples,Piracicaba,2ª Vara Criminal,Flavia de Cassia Gonzales de Oliveira,N/A,N/A,Não,Maus antecedentes,Não no mínimo,Sim,Não,Sim,Igual à base,Não,Sim,Não convertida
1500106-62.2021.8.26.0579,Furto Simples,São Luiz do Paraitinga,Vara Única,Ana Leticia Oliveira Dos Santos,850,1321,Não,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,Diferente da base,Não,Sim,Não convertida
1500110-36.2022.8.26.0621,Furto Simples,Aparecida,1ª Vara,LUCAS GARBOCCI DA MOTTA,420,210,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,N/A,Sim,Não,Não convertida
1500111-90.2019.8.26.0535,Furto Simples,Guarulhos,5ª Vara Criminal,PRISCILA DEVECHI FERRAZ MAIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500114-38.2021.8.26.0547,Furto Simples,Santa Rita do Passa Quatro,2ª Vara,THIAGO ZAMPIERI DA COSTA,30,40,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Diferente da base,Não,Não,Não convertida
1500114-84.2022.8.26.0585,Furto Simples,Presidente Epitácio,1ª Vara,MARIA FERNANDA SANDOVAL EUGENIO BARREIROS TAMAOKI,485,565,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,N/A,Não,Não,Não convertida
1500115-12.2019.8.26.0638,Furto Simples,Tupi Paulista,1ª Vara,VANDICKSON SOARES EMIDIO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500116-60.2022.8.26.0583,Furto Simples,Presidente Prudente,2ª Vara Criminal,Dr. Alessandro Correa Leite,500,183,Sim,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,Diferente da base,Não,Sim,Convertida
1500116-98.2020.8.26.0205,Furto Simples,Getulina,Vara Única,LUIS FERNANDO VIAN,420,633,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,Igual à base,Não,Sim,Não convertida
1500120-23.2020.8.26.0598,Furto Simples,Jaú,1ª Vara Criminal,PEDRO SIQUEIRA DE PRETTO,416,553,Sim,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,Diferente da base,Não,Não,Não convertida
1500123-88.2022.8.26.0474,Furto Simples,Potirendaba,Vara Única,Marco Antônio Costa Neves Buchala,545,545,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,N/A,Não,Não,Não convertida
1500127-25.2019.8.26.0412,Furto Simples,Palestina,Vara Única,DR. SENIVALDO DOS REIS JÚNIOR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500132-04.2022.8.26.0263,Furto Simples,Itaí,Vara Única,AUGUSTO BRUNO MANDELLI,730,730,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,Igual à base,Não,Não,Não convertida
1500133-19.2021.8.26.0426,Furto Simples,Patrocínio Paulista,Vara Única,DANIEL DIEGO CARRIJO,N/A,N/A,Não,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,N/A,Não,Sim,Não convertida
1500133-23.2021.8.26.0069,Furto Simples,Bastos,Vara Única,Paolo Pellegrini Junior,365,365,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Igual à base,Não,Não,Convertida
1500134-92.2021.8.26.0623,Furto Simples,Aguaí,Vara Única,ANDRE ACAYABA DE REZENDE,740,740,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Igual à base,Não,Não,Não convertida
1500137-26.2022.8.26.0457,Furto Simples,Pirassununga,3ª Vara,Jorge Corte Júnior,395,227,Sim,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Diferente da base,Sim,Não,Não convertida
1500139-51.2022.8.26.0083,Furto Simples,Aguaí,Vara Única,ANDRE ACAYABA DE REZENDE,N/A,1095,Sim,Maus antecedentes,Não no mínimo,Não,Uma condenação,Sim,Diferente da base,Não,Sim,Não convertida
1500146-70.2020.8.26.0032,Furto Simples,Araçatuba,2ª Vara Criminal,DANILO BRAIT,N/A,N/A,Não,Primário ou sem antecedentes,N/A,Não,Não,Não,N/A,Não,Sim,N/A
1500147-25.2022.8.26.0084,Furto Simples,Campinas,4Âª Vara,VIVIANI DOURADO BERTON CHAVES,30,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500151-38.2020.8.26.0050,Furto Simples,SÃO PAULO,25ª Vara Criminal,CARLOS ALBERTO CORRÊA DE ALMEIDA OLIVEIRA,365,240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A
1500154-05.2021.8.26.0067,Furto Simples,Borborema,Vara Única,BRENO COLA ALTOÉ,468,375,Sim,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,Diferente da base,Não,Não,Não convertida
1500216-95.2021.8.26.0600,Furto Simples,Lins,1ª Vara Criminal,Jane Carrasco Alves Floriano,365,320,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Diferente da base,Não,Sim,Convertida
0000026-32.2016.8.26.0068,Furto Simples,Barueri,2ª Vara Criminal,Dr(a). Fabio Calheiros do Nascimento,365,365,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Igual à base,Não,Não,Não convertida
0097760-37.2016.8.26.0050,Furto Simples,SÃO PAULO,19ª Vara Criminal,Antonio Carlos de Campos Machado Junior,365,246,Sim,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Diferente da base,Não,Não,Convertida
0005678-11.2017.8.26.0451,Furto Simples,Piracicaba,2ª Vara Criminal,FLAVIA DE CASSIA GONZALES DE OLIVEIRA,N/A,N/A,N/A,Primário ou sem antecedentes,Sim no mínimo,Não,Uma condenação,Sim,N/A,Não,N/A,N/A
1501682-94.2020.8.26.0201,Furto Simples,Garça,3ª Vara,TIAGO TADEU SANTOS COELHO,365,365,Não,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,Igual à base,Não,Não,Convertida
1502051-32.2021.8.26.0079,Furto Simples,Botucatu,2ª Vara Criminal,CRISTINA ESCHER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1501456-71.2022.8.26.0540,Furto Simples,Mauá,2ª Vara Criminal,Paulo Antonio Canali Campanella,425,705,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Diferente da base,Não,Não,Não convertida
0079877-43.2017.8.26.0050,Furto Simples,SÃO PAULO,21ª Vara Criminal,Renata William Rached Catelli,365,425,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Sim,Diferente da base,Não,Não,Não convertida
1500060-27.2022.8.26.0486,Furto Simples,Quatá,Juizado Especial Cível e Criminal,RICARDO BAREA BORGES,30,10,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,N/A,Não,Não,Convertida
1500014-78.2021.8.26.0484,Furto Simples,Promissão,1ª Vara Judicial,MARIANE CRISTINA MASKE DE FARIA CABRAL,365,495,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,N/A,Não,Não,Convertida
1501030-25.2022.8.26.0228,Furto Simples,SÃO PAULO,16ª Vara Criminal,Maria Domitila Prado Manssur,420,326,Não,Maus antecedentes,Não,Sim,Múltiplas condenações,Sim,Diferente da base,Sim,Não,Não convertida
1500363-90.2022.8.26.0696,Furto Simples,Ouroeste,Juizado Especial Cível e Criminal,WENDEL ALVES BRANCO,N/A,90,N/A,Maus antecedentes,Não no mínimo,N/A,Múltiplas condenações,N/A,N/A,Não,Não,Não convertida
1500150-04.2021.8.26.0637,Furto Simples,Tupã,Anexo do Juizado Especial Criminal,JOSE AUGUSTO FRANCA JUNIOR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1502833-29.2021.8.26.0535,Furto Simples,Guarulhos,1ª Vara Criminal,MIRIAN KEIKO SANCHES MACEDO,375,123,Não,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Sim,N/A,Sim,Não,Não convertida
1501075-17.2021.8.26.0599,Furto Simples,Piracicaba,2ª Vara Criminal,Flavia de Cassia Gonzales de Oliveira,N/A,N/A,Não,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Diferente da base,Sim,Não,Não convertida
1503698-49.2021.8.26.0536,Furto Simples,Praia Grande,2ª Vara Criminal,Antonio Carlos C. P. Martins,365,425,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Sim,N/A,Não,Não,Não convertida
1523902-68.2021.8.26.0228,Furto Simples,SÃO PAULO,14ª Vara Criminal,LETICIA DE ASSIS BRUNING,425,186,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,N/A,Sim,Sim,Não convertida
1503348-98.2020.8.26.0050,Furto Simples,SÃO PAULO,20ª Vara Criminal,Carla de Oliveira Pinto Ferrari,N/A,530,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Diferente da base,Não,Sim,Convertida
